iter	Logloss
0	0.6804746402
1	0.6689322132
2	0.6582913785
3	0.64784591
4	0.6389444448
5	0.6310759073
6	0.6229840435
7	0.6155916052
8	0.6088725555
9	0.6030861054
10	0.5975840057
11	0.5925927945
12	0.5878033934
13	0.5839000746
14	0.5800246954
15	0.5772665718
16	0.5735924122
17	0.5699647308
18	0.5668421068
19	0.5647912878
20	0.562341955
21	0.5596575898
22	0.557565858
23	0.5560079303
24	0.5536252692
25	0.5523129531
26	0.5503511037
27	0.5494294735
28	0.5476601514
29	0.5465454545
30	0.5453392343
31	0.5443842425
32	0.5427155021
33	0.5411858499
34	0.5403257259
35	0.5395886287
36	0.5389745908
37	0.5381942438
38	0.5374555534
39	0.5362995562
40	0.5354360117
41	0.5347665592
42	0.5342177546
43	0.5336518065
44	0.5329023676
45	0.5320712015
46	0.5314326284
47	0.5309969887
48	0.5301806124
49	0.5295291344
50	0.5284097379
51	0.528132443
52	0.5269441607
53	0.5265323438
54	0.5261111404
55	0.5258394044
56	0.5257722497
57	0.5249904648
58	0.5244085044
59	0.5233766853
60	0.522953273
61	0.5226650186
62	0.5222745086
63	0.5220266675
64	0.5217123903
65	0.5214527923
66	0.5211517067
67	0.5207601388
68	0.5206172936
69	0.5203237611
70	0.5195774629
71	0.5193001334
72	0.5191016386
73	0.5188708618
74	0.5186340215
75	0.5184121282
76	0.5180716362
77	0.5178513088
78	0.5176523162
79	0.5174174477
80	0.5173088304
81	0.5170278436
82	0.51677249
83	0.5166964369
84	0.5165215445
85	0.5163186616
86	0.5161185096
87	0.5158288884
88	0.5156978455
89	0.5155498521
90	0.5153408317
91	0.5151645915
92	0.5150089899
93	0.5148873445
94	0.5147209359
95	0.5146077845
96	0.5144387611
97	0.5142230559
98	0.5140267164
99	0.5139736687
100	0.5137720631
101	0.5135878887
102	0.5133262741
103	0.5131262766
104	0.5128984047
105	0.5125953268
106	0.5124445354
107	0.5123106414
108	0.5121406033
109	0.5120508599
110	0.51186771
111	0.5117519818
112	0.5116227796
113	0.5114915733
114	0.5113640614
115	0.5112278851
116	0.5110345762
117	0.5109571079
118	0.510860278
119	0.5105512482
120	0.5104366554
121	0.510363053
122	0.5102671947
123	0.5101770785
124	0.5100632582
125	0.5099799667
126	0.5098312674
127	0.5097550392
128	0.5096215353
129	0.5095197043
130	0.5094073652
131	0.5093139428
132	0.5091929115
133	0.5087637146
134	0.5086571843
135	0.5085268658
136	0.508381589
137	0.508263006
138	0.5081599769
139	0.5080411807
140	0.507922549
141	0.5075963372
142	0.5074922724
143	0.5074192386
144	0.507301018
145	0.5072187918
146	0.5070458906
147	0.5069055877
148	0.5068107011
149	0.5067468215
150	0.5066104257
151	0.5065489017
152	0.5064662535
153	0.5063695418
154	0.5062965608
155	0.5061945908
156	0.5061106744
157	0.5061030991
158	0.5059790801
159	0.5058946322
160	0.5058020443
161	0.5057236166
162	0.5056212807
163	0.5055437854
164	0.5054188457
165	0.5053012123
166	0.5051677164
167	0.5050907033
168	0.5050007991
169	0.5048960399
170	0.5047804266
171	0.5047177117
172	0.5046416337
173	0.5045585877
174	0.5045204209
175	0.5044287389
176	0.5043279387
177	0.5042188446
178	0.5040379183
179	0.50400363
180	0.5039030253
181	0.5038582256
182	0.5038001804
183	0.503683902
184	0.5036256509
185	0.5036005023
186	0.5035003168
187	0.5034148499
188	0.5033280869
189	0.5032522418
190	0.5031530515
191	0.5031164777
192	0.5030307733
193	0.502959644
194	0.502897746
195	0.5028204242
196	0.5027542977
197	0.5026526795
198	0.5026161292
199	0.5025251523
200	0.5024519042
201	0.502342895
202	0.5021843956
203	0.5020815893
204	0.5019936221
205	0.5019026112
206	0.5017960032
207	0.5016854656
208	0.5015784971
209	0.5014911216
210	0.5014095598
211	0.5013337032
212	0.5012586367
213	0.5011814946
214	0.5011071974
215	0.5009883943
216	0.5008984301
217	0.5008373543
218	0.500782404
219	0.5006941984
220	0.5006179906
221	0.5005463778
222	0.5004703067
223	0.5003790332
224	0.5003103623
225	0.5002592729
226	0.5001784732
227	0.500072584
228	0.5000053656
229	0.4999383151
230	0.4998692008
231	0.4998136631
232	0.4997510883
233	0.4997015529
234	0.4996054556
235	0.4995137292
236	0.4994501501
237	0.4993631678
238	0.4992815131
239	0.4991927358
240	0.4991195862
241	0.499034112
242	0.4989553312
243	0.4988547008
244	0.4987965126
245	0.4987477597
246	0.4986540169
247	0.4985569704
248	0.498285093
249	0.4979621437
250	0.4978783205
251	0.4978353004
252	0.4977335202
253	0.4976552452
254	0.4975927039
255	0.4975108428
256	0.4974369891
257	0.4973816667
258	0.4973798973
259	0.4973165064
260	0.4972528726
261	0.4971885602
262	0.4970360736
263	0.4968997942
264	0.496828961
265	0.4967323052
266	0.4966108356
267	0.4965032073
268	0.4964244895
269	0.4962924127
270	0.4962386793
271	0.496171512
272	0.4961017261
273	0.495995104
274	0.4959381334
275	0.4958492693
276	0.4957668937
277	0.4957017344
278	0.4956100694
279	0.495530523
280	0.4954759035
281	0.4954124025
282	0.4953184781
283	0.4952136645
284	0.4951532436
285	0.4950677973
286	0.4949832042
287	0.4948869784
288	0.4948190709
289	0.4947678909
290	0.4946793299
291	0.4945341399
292	0.4944512251
293	0.4943841934
294	0.4942975287
295	0.4942405563
296	0.4941746807
297	0.4940849102
298	0.4939829066
299	0.4938898509
300	0.4938351195
301	0.4937519295
302	0.4936752125
303	0.4935942552
304	0.4935154144
305	0.4934629022
306	0.4933976477
307	0.4933228009
308	0.4932606856
309	0.4931554783
310	0.4930696834
311	0.4929977005
312	0.4929123978
313	0.4928290032
314	0.4927579953
315	0.4926752657
316	0.4926248243
317	0.4925359566
318	0.4924330668
319	0.4923738229
320	0.4923117894
321	0.4922137466
322	0.4921030458
323	0.4920512945
324	0.4919364635
325	0.4918705324
326	0.4917939978
327	0.4916917384
328	0.4916099051
329	0.4914876408
330	0.4914014658
331	0.4913262263
332	0.4912685257
333	0.4912027195
334	0.4911278361
335	0.4910022794
336	0.4909283667
337	0.4908557394
338	0.4907403422
339	0.4906871577
340	0.4906140999
341	0.4905472359
342	0.4904745912
343	0.4903509422
344	0.4902724321
345	0.4902150612
346	0.4901231697
347	0.490043142
348	0.489964771
349	0.4898962569
350	0.4898025786
351	0.4897516573
352	0.4896981561
353	0.4896391003
354	0.4895866766
355	0.48950868
356	0.4894559187
357	0.4893931091
358	0.4892996423
359	0.4892237907
360	0.489154386
361	0.4890925845
362	0.4890558275
363	0.4889854885
364	0.4889299661
365	0.4888609611
366	0.4888082405
367	0.4887183016
368	0.4886710242
369	0.4886085364
370	0.488525223
371	0.4884700346
372	0.4883868917
373	0.4883064504
374	0.4882024076
375	0.4881514894
376	0.4880598057
377	0.4879907673
378	0.4879448501
379	0.4878615542
380	0.4877767381
381	0.4876963751
382	0.4875996289
383	0.487520727
384	0.4874628776
385	0.4873860306
386	0.4872833471
387	0.4872006485
388	0.487096284
389	0.4870171739
390	0.4869116614
391	0.4868314635
392	0.486782371
393	0.4867073975
394	0.4866224631
395	0.4865685579
396	0.4865015115
397	0.4864418065
398	0.4863663893
399	0.4862882439
400	0.4862100643
401	0.4861513914
402	0.4860967657
403	0.4860077662
404	0.4859254848
405	0.4858553991
406	0.4857777899
407	0.4856988388
408	0.4856006255
409	0.4854919814
410	0.4854142701
411	0.4853206731
412	0.4852444237
413	0.4851589577
414	0.4850789774
415	0.4850221458
416	0.4849309573
417	0.4848486983
418	0.4847831415
419	0.4847294963
420	0.4846607679
421	0.4845917269
422	0.4845006423
423	0.484410753
424	0.4843007926
425	0.4841958608
426	0.4841216771
427	0.484078931
428	0.4840021527
429	0.4839232886
430	0.4838566082
431	0.4837886369
432	0.4837036023
433	0.483618369
434	0.4835720329
435	0.4835074473
436	0.4834145376
437	0.483345273
438	0.483239974
439	0.4831721328
440	0.4830739691
441	0.4829638664
