iter	Passed	Remaining
0	61	61354
1	67	33438
2	71	23732
3	74	18674
4	78	15702
5	82	13734
6	86	12226
7	89	11042
8	91	10114
9	94	9374
10	97	8804
11	101	8319
12	104	7897
13	108	7627
14	111	7350
15	115	7075
16	118	6833
17	121	6604
18	124	6419
19	127	6230
20	130	6095
21	134	5973
22	137	5824
23	140	5709
24	143	5586
25	147	5508
26	150	5411
27	152	5310
28	156	5223
29	158	5137
30	162	5071
31	165	5000
32	168	4927
33	170	4856
34	173	4791
35	176	4727
36	180	4688
37	183	4636
38	186	4602
39	189	4550
40	192	4503
41	195	4468
42	199	4435
43	202	4407
44	206	4379
45	209	4341
46	212	4310
47	215	4272
48	218	4243
49	221	4207
50	224	4175
51	227	4151
52	230	4125
53	233	4094
54	236	4061
55	239	4035
56	241	4000
57	245	3983
58	247	3955
59	251	3936
60	254	3918
61	257	3901
62	261	3892
63	265	3876
64	268	3857
65	270	3833
66	273	3813
67	277	3803
68	281	3791
69	284	3779
70	287	3765
71	291	3755
72	294	3740
73	297	3721
74	300	3703
75	303	3687
76	306	3668
77	309	3654
78	311	3637
79	314	3619
80	317	3602
81	320	3585
82	323	3569
83	326	3557
84	329	3548
85	332	3538
86	336	3528
87	339	3517
88	342	3505
89	345	3490
90	348	3477
91	351	3466
92	354	3452
93	356	3440
94	359	3428
95	362	3415
96	365	3400
97	367	3385
98	370	3373
99	372	3355
100	375	3345
101	378	3335
102	381	3325
103	384	3313
104	387	3305
105	391	3300
106	394	3290
107	397	3279
108	399	3268
109	402	3256
110	405	3248
111	408	3240
112	411	3230
113	414	3221
114	417	3211
115	420	3202
116	423	3193
117	426	3189
118	429	3182
119	432	3174
120	435	3166
121	438	3157
122	441	3149
123	444	3140
124	447	3131
125	451	3132
126	455	3128
127	458	3124
128	462	3120
129	465	3113
130	468	3107
131	471	3099
132	474	3093
133	477	3085
134	480	3077
135	483	3070
136	486	3061
137	489	3055
138	492	3048
139	494	3040
140	497	3032
141	500	3026
142	503	3018
143	506	3011
144	509	3003
145	512	2996
146	515	2990
147	518	2982
148	520	2975
149	524	2970
150	527	2965
151	530	2959
152	533	2953
153	536	2947
154	539	2941
155	542	2935
156	545	2928
157	547	2917
158	550	2912
159	553	2903
160	556	2897
161	558	2890
162	561	2884
163	564	2878
164	567	2873
165	570	2867
166	573	2861
167	576	2854
168	579	2849
169	582	2842
170	584	2835
171	587	2829
172	590	2822
173	593	2815
174	596	2810
175	599	2805
176	602	2799
177	605	2794
178	608	2789
179	610	2782
180	613	2777
181	616	2772
182	619	2765
183	622	2761
184	625	2757
185	628	2750
186	631	2745
187	634	2739
188	637	2733
189	639	2727
190	642	2721
191	645	2716
192	648	2710
193	651	2704
194	654	2700
195	656	2694
196	659	2689
197	662	2684
198	665	2678
199	668	2673
200	671	2668
201	674	2665
202	677	2661
203	680	2655
204	683	2651
205	686	2646
206	689	2640
207	692	2636
208	695	2631
209	698	2625
210	700	2621
211	704	2617
212	706	2612
213	709	2606
214	712	2602
215	715	2597
216	718	2592
217	721	2588
218	724	2585
219	727	2579
220	730	2575
221	733	2571
222	736	2566
223	739	2561
224	742	2555
225	744	2550
226	747	2546
227	750	2541
228	753	2537
229	756	2531
230	758	2525
231	761	2520
232	764	2516
233	767	2512
234	770	2508
235	773	2503
236	776	2498
237	778	2494
238	781	2489
239	785	2486
240	789	2485
241	792	2480
242	794	2475
243	797	2470
244	800	2466
245	803	2462
246	806	2458
247	809	2453
248	812	2449
249	815	2446
250	818	2442
251	821	2439
252	825	2436
253	827	2431
254	830	2427
255	833	2423
256	837	2420
257	839	2415
258	841	2408
259	844	2403
260	847	2399
261	850	2395
262	853	2392
263	856	2388
264	859	2383
265	862	2379
266	865	2374
267	868	2371
268	871	2367
269	874	2363
270	876	2358
271	879	2353
272	881	2348
273	885	2344
274	887	2341
275	891	2337
276	894	2333
277	896	2329
278	899	2324
279	902	2320
280	905	2316
281	908	2312
282	911	2309
283	914	2305
284	917	2301
285	920	2297
286	923	2294
287	926	2290
288	929	2285
289	931	2281
290	934	2276
291	937	2272
292	940	2269
293	944	2267
294	947	2264
295	950	2261
296	953	2257
297	957	2254
298	960	2251
299	963	2248
300	966	2244
301	969	2240
302	972	2236
303	975	2233
304	978	2229
305	981	2225
306	984	2221
307	987	2217
308	990	2214
309	993	2210
310	995	2206
311	998	2202
312	1001	2198
313	1004	2194
314	1008	2192
315	1010	2188
316	1013	2183
317	1016	2180
318	1019	2177
319	1022	2173
320	1026	2170
321	1030	2169
322	1034	2167
323	1037	2164
324	1040	2162
325	1044	2159
326	1047	2155
327	1050	2151
328	1053	2148
329	1056	2145
330	1061	2145
331	1064	2141
332	1066	2137
333	1069	2132
334	1073	2131
335	1078	2130
336	1081	2127
337	1084	2123
338	1087	2119
339	1090	2117
340	1093	2114
341	1096	2110
342	1099	2106
343	1102	2103
344	1106	2100
345	1110	2098
346	1112	2094
347	1116	2091
348	1119	2087
349	1122	2085
350	1126	2083
351	1129	2079
352	1132	2076
353	1135	2072
354	1139	2069
355	1142	2066
356	1145	2063
357	1148	2059
358	1151	2055
359	1155	2053
360	1158	2051
361	1161	2047
362	1164	2043
363	1167	2040
364	1171	2037
365	1175	2036
366	1179	2033
367	1182	2031
368	1187	2030
369	1191	2028
370	1194	2025
371	1198	2022
372	1203	2022
373	1206	2019
374	1209	2016
375	1213	2013
376	1217	2011
377	1221	2009
378	1224	2006
379	1228	2003
380	1231	2001
381	1236	1999
382	1239	1997
383	1243	1994
384	1246	1991
385	1250	1989
386	1254	1987
387	1258	1984
388	1261	1981
389	1265	1979
390	1270	1978
391	1273	1975
392	1277	1972
393	1280	1969
394	1285	1968
395	1289	1966
396	1292	1962
397	1295	1959
398	1299	1957
399	1302	1954
400	1306	1951
401	1309	1948
402	1313	1945
403	1317	1943
404	1320	1940
405	1323	1936
406	1327	1934
407	1331	1931
408	1334	1928
409	1338	1925
410	1341	1922
411	1345	1919
412	1348	1916
413	1352	1913
414	1355	1910
415	1358	1907
416	1362	1904
417	1365	1901
418	1369	1898
419	1372	1895
420	1375	1891
421	1378	1888
422	1382	1886
423	1386	1883
424	1389	1879
425	1392	1876
426	1396	1873
427	1399	1870
428	1403	1867
429	1406	1864
430	1409	1861
431	1413	1858
432	1416	1855
433	1420	1852
434	1423	1848
435	1426	1845
436	1430	1842
437	1433	1839
438	1437	1836
439	1440	1833
440	1443	1830
441	1447	1827
442	1450	1823
443	1453	1820
444	1456	1816
445	1459	1813
446	1463	1810
447	1467	1807
448	1470	1804
449	1473	1800
450	1476	1797
451	1480	1795
